rider_slug,rank,pcs_points
laurent-dufaux,43,726
yaroslav-popovych,44,722
filippo-pozzato,45,719
angel-vicioso,46,687
leonardo-piepoli,47,685
daniele-nardello,48,676
oscar-pereiro,49,658
gerben-lowik,50,658
michael-rich,51,656
jens-voigt,52,652
fabio-baldato,53,647
carlos-sastre,54,638
markus-zberg,55,630
michael-rasmussen,56,622
andy-flickinger,57,620
david-moncoutie,58,619
kim-kirchen,59,618
juan-antonio-flecha,60,617
fred-rodriguez,61,617
fabian-jeker,62,606
georg-totschnig,63,605
claus-michael-moller,64,599
manuel-beltran,65,598
patrik-sinkewitz,66,594
richard-virenque,67,594
samuel-sanchez,68,590
antonio-jose-pecharroman-fabian,69,586
angel-edo,70,585
bradley-mcgee,71,585
michele-scarponi,72,575
miguel-angel-martin-perdiguero,73,572
fabian-wegmann,74,568
tom-boonen,75,561
ivan-gutierrez,76,560
martin-elmiger,77,551
eddy-mazzoleni,78,546
paolo-bossoni,79,542
didier-rous,80,542
alexandre-moos,81,539
aitor-osa,82,536
mario-cipollini,83,530
sergei-ivanov,84,529
joaquim-rodriguez,85,522
francisco-perez-sanchez,86,520
thor-hushovd,87,514
jan-svorada-1,88,501
matthias-kessler,89,497
beat-zberg,90,496
marc-wauters,91,486
stefan-van-dijk-1,92,484
lance-armstrong,93,480
jans-koerts,94,479
gerrit-glomser,95,473
kurt-asle-arvesen,96,469
fabio-sacchi,97,461
bart-voskamp,98,461
denis-menchov,99,461
bernhard-eisel,100,460
erik-zabel,1,2363
damiano-cunego,2,2004
paolo-bettini,3,1980
oscar-freire,4,1914
stuart-o-grady,5,1816
alejandro-valverde,6,1797
alessandro-petacchi,7,1709
davide-rebellin,8,1708
robbie-mcewen,9,1678
danilo-hondo,10,1604
tom-boonen,11,1593
ivan-basso,12,1591
miguel-angel-martin-perdiguero,13,1374
jens-voigt,14,1361
jan-ullrich,15,1358
francisco-mancebo,16,1257
thor-hushovd,17,1223
erik-dekker,18,1140
bobby-julich,19,1118
iban-mayo,20,1079
michael-boogerd,21,1046
roberto-heras,22,1005
andreas-kloden,23,1002
gilberto-simoni,24,968
alexandre-vinokourov,25,965
samuel-sanchez,26,948
allan-davis,27,944
denis-menchov,28,922
