rider_name,year,pcs_points
sergio barbero,1992,71.0
abelardo rondon,1992,70.0
eduardo chozas,1992,70.0
marek lesniewski,1992,69.0
frank pineau,1992,68.0
oscar pellicioli,1992,68.0
americo jose neves da silva,1992,67.0
jan goessens,1992,67.0
theo akkermans,1992,67.0
benjamin van itterbeeck,1992,66.0
ignacio garcia,1992,66.0
john talen,1992,66.0
kees hopmans,1992,66.0
mauro antonio santaromita,1992,66.0
didier rous,1992,65.0
jocelyn jolidon,1992,65.0
vladislav bobrik,1992,65.0
jose luis rodriguez garcia,1992,64.0
fabiano fontanelli,1992,63.0
fabrizio settembrini,1992,63.0
jose luis de santos arribas,1992,63.0
davide bramati,1992,61.0
mario chiesa,1992,61.0
nelson rodriguez serna,1992,61.0
gennady mikhaylov,1992,60.0
rodolfo massi,1992,59.0
andreas kappes,1992,56.0
federico munoz,1992,56.0
andrzej mierzejewski,1992,55.0
andrzej sypytkowski,1992,55.0
evgeni berzin,1992,55.0
gerard guazzini,1992,55.0
niko eeckhout,1992,55.0
miguel arroyo,1992,54.0
lubos lom,1992,52.0
ludwig willems,1992,52.0
paulo jorge de moura ferreira,1992,51.0
benoit salmon,1992,50.0
santiago blanco,1992,50.0
thomas bay,1992,50.0
brian walton,1992,49.0
carlos mario jaramillo,1992,49.0
christian chaubet,1992,49.0
dariusz baranowski,1992,48.0
fabio bordonali,1992,48.0
juan carlos martin,1992,48.0
martin muller,1992,48.0
antonio sanchez garcia,1992,47.0
augusto triana,1992,47.0
herve garel,1992,47.0
stefano cattai,1992,47.0
riccardo forconi,1992,46.0
santos hernandez,1992,46.0
gerrit glomser,1992,45.0
jan van camp,1992,45.0
jean claude bagot,1992,45.0
john den braber,1992,45.0
vicente aparicio,1992,45.0
arvis piziks,1992,44.0
pascal richard,1992,44.0
alvaro sierra 1,1992,43.0
pascal herve,1992,43.0
stefano giraldi,1992,43.0
davide perona,1992,41.0
anthony langella,1992,40.0
bobby julich,1992,40.0
danny van looy,1992,40.0
jan ullrich,1992,40.0
juergen werner,1992,40.0
paolo valoti,1992,40.0
sergei uslamin,1992,40.0
bruno risi,1992,39.0
patrick evenepoel,1992,39.0
steffen wesemann,1992,39.0
luca gelfi,1992,38.0
falk boden,1992,37.0
giuseppe citterio,1992,36.0
rene joergensen,1992,36.0
eros poli,1992,35.0
ralf schmidt,1992,35.0
rudy verdonck,1992,35.0
thierry dupuy,1992,35.0
torsten schmidt,1992,35.0
antonio miguel,1992,34.0
gianluca tonetti,1992,34.0
leon van bon,1992,34.0
fernando carvalho,1992,33.0
lauri aus,1992,33.0
stefano allocchio,1992,33.0
francisco cerezo,1992,32.0
